Question_ID,Question_Sentence,Question_Good,Question_Bad
Question_036,今までに最も成果をあげたのはどのようなものですか。,"Courtesy, Skilled, Honesty","A, Punch, Rude, Chuuni, Way"
Question_037,ほかに面接を受けている企業はありますか。,"Courtesy, Fake","A, Punch, Rude, Chuuni, Way"
Question_038,学生時代に力を入れたことは？,"Courtesy, Skilled, Etiquette","A, Punch, Rude, Chuuni, Way, Inept"
Question_039,何か質問はありますか。,"Courtesy, Simple","A, Punch, Rude, Chuuni, Way"
Question_040,ういーす！ まずはさ、お前の『バイブス』知りたいから軽く自己紹介ぶっ放してよ！,"A, Way","Punch, Chuuni"
Question_041,ぶっちゃけ前の現場ではどんなヤバい仕事回してたわけ？ 激アツな経歴カモン！,Way,"Punch, Chuuni"
Question_042,お前のいいトコと、ちょっとビビりなトコってどこよ？ ,Way,"Punch, Chuuni"
Question_043,なんで前の最高の職場を離れて、他の海の縄張りに来ようと思ったわけ？,Way,"Punch, Joke, Fake"
Question_044,よし、ここでお前の『最高の自己PR』魅せてみろよ！,"A, Chuuni, Joke","Punch, Courtesy"
Question_045,なんで弊社が本命なわけ？ ウチのどんなバイブスにヤられちゃったの？,Way,"Punch, Chuuni"
Question_046,ウチのクルーになったら、将来どんな『イケてる未来』描いてる？ ,Way,"Punch, Chuuni"
Question_047,ぶっちゃけ月々どれくらいお金欲しい？ あと、いつからウチのパーティーに合流できる？,Way,"Punch, Chuuni"
Question_048,お前が仕事する上で、これだけは絶対に譲れない『神モットー』って何？,"Way, Honesty, Rude","Punch, Chuuni"
Question_049,周りの連中全員が『マジかよヤバすぎ！』ってなった大金星な話、聞かせて？,"Way, Joke, Fake, Rude","Punch, Chuuni"
Question_050,ウチの他にもさ、お前のことナンパしてきてる他のビーチはあるの？,Way,"Punch, Chuuni"
Question_051,お前がまだガキだった頃、一番エネルギー注いでブチ上がってたことって何よ？ ,Way,"Punch, Chuuni"
Question_052,ラスト！ お前からウチの最高のチームに対して、『これマジ？』って聞きたいコトある？,"Way, Etiquette","Punch, Chuuni"
